"year","AED","AFN","ALL","AMD","ANG","AOA","ARS","AUD","AWG","AZN","BAM","BBD","BDT","BGN","BHD","BIF","BMD","BND","BOB","BRL","BSD","BTN","BWP","BYR","BZD","CAD","CDF","CHF","CLP","CNY","COP","CRC","CUC","CUP","CVE","CZK","DJF","DKK","DOP","DZD","EEK","EGP","ERN","ETB","EUR","FJD","FKP","GBP","GEL","GHS","GIP","GMD","GNF","GTQ","GYD","HKD","HNL","HRK","HTG","HUF","IDR","ILS","INR","IQD","IRR","ISK","JMD","JOD","JPY","KES","KGS","KHR","KMF","KPW","KRW","KWD","KYD","KZT","LAK","LBP","LKR","LRD","LSL","LTL","LVL","LYD","MAD","MDL","MGA","MKD","MMK","MNT","MOP","MRO","MUR","MVR","MWK","MXN","MYR","MZN","NAD","NGN","NIO","NOK","NPR","NZD","OMR","PAB","PEN","PGK","PHP","PKR","PLN","PYG","QAR","RON","RSD","RUB","RWF","SAR","SBD","SCR","SDG","SEK","SGD","SHP","SLL","SOS","SRD","STD","SVC","SYP","SZL","THB","TJS","TMT","TND","TOP","TRY","TTD","TWD","TZS","UAH","UGX","USD","UYU","UZS","VEF","VND","VUV","WST","XAF","XCD","XDR","XOF","XPF","YER","ZAR","ZMK"
"1990",,,,,,,,,,,,,,,,,,,,,,,,,,1.16651,,1.38835,,,,,,,,,,6.18492,,,,,,,,,,0.56308,,,,,,,,7.789,,,,,,,,144.72186,,,,,144.72186,,,,,,,0.28999,,,,,,,,,,,,,,,,,,,,,,2838.98445,2.70349,,,,,6.25687,,1.67552,,,,,,,,,,,,,,3.74998,,,,5.9145,1.77556,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2.58739,
"1991",,,,,,,,,,,,,,,,,,,,,,,,,,1.14572,,1.43471,,,,,,,,,,6.39808,,,,,,,,,,0.56724,,,,,,,,7.77037,,,,,,,,134.48329,,,,,134.48329,,,,,,,0.289,,,,,,,,,,,,,,,,,,,,,,3018.86312,2.74893,,,,,6.48894,,1.72845,,,,,,,,,,,,,,3.75007,,,,6.04844,1.72703,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2.76169,
"1992",,,,,,,,,,,,,,,,,,,,,,,,,,1.20809,,1.40541,,,,,,,,,,6.03426,,,,,,,,,,0.56957,,,,,,,,7.7396,,,,,,,,126.60525,,,,,126.60525,,,,,,,0.29335,,,,,,,,,,,,,,,,,,,,,,3093.66978,2.54656,,,,,6.21318,,1.85725,,,,,,,,,,,,,,3.74996,,,,5.82552,1.62858,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2.85123,
"1993",3.67247,,,,,,,1.49392,,,,,,,0.37696,,,,,,,,2.53669,,,1.28956,,1.47727,418.5125,5.79338,,,,,,,170,6.4822,,23.93656,,3.36237,,4.93,,,,0.6659,,,,,,,,7.73498,,,,,2100.73343,2.934,31.36756,111.09989,1583,,,0.7002,111.09989,68.518,,,,,808.22286,0.30146,,,,1714.53214,,,,,,,,,,,,,,123.41559,18.45199,,4.43743,28.72281,2.57296,4.915,,,,7.09502,,1.84855,,,,,27.98929,30.03696,,1792.74286,3.63928,,,,,3.75036,,,,7.78331,1.61513,,,,,,,21,3.36446,25.39058,,,,,0.01393,,26.7505,,,,1,4.37325,,,,,,,,,,,,3.2678,
"1994",3.6725,,,,,,,1.36735,,,,,,,0.377,257.56602,,,,,,,2.6682,,,1.36569,,1.3667,419.81014,8.56513,,,1,,,,172.59041,6.35543,,24.24251,,3.38133,,5.223,,,,0.65325,,,,9.69413,,,,7.72824,,,,,2159.62575,2.99441,31.3705,72.79619,1583,,,0.69768,102.17163,55.79184,,,,,803.59904,0.29751,,,,1679.01918,,,,,,,9.08574,,,,,,,122.43355,18.01115,,4.45227,3.36858,2.62176,4.915,,21.7761,,7.05618,,1.68497,,,,,26.28768,30.53458,,1793,3.63913,,,,,3.75026,,4.97,,7.7141,1.52671,,577,,,,,22.77671,3.54801,25.1436,,,,,0.03014,,26.44764,516.40162,,,1,5.00592,,,,,,544.65818,,,,,,3.5488,682.45
"1995",3.671316982888841,3756.74909,91.78697,,1.7822,453417.5455,0.99988,1.347759643026497,1.79,,,2.0113,40.62887,69.60113,0.37603245138994296,248.63259,1,1.39991,4.79773,0.9139217242405139,1,32.75316,2.75366,,2,1.372190230778095,,1.1804695846154407,401.06222321043174,8.426294970185618,910.9185357742405,178.6281,1,1,73.91,26.38554,171.73973,5.597162159388994,13.74702,28.40345,11.40986,3.39917,,5.71537,,1.42044,0.62473,0.6333881424042869,,,0.62456,9.66479,1008.4886,5.77761,142.50579,7.7352,9.25388,5.28002,19,133.89183,2247.2368067205784,3.00829,32.363123987456845,263.22648,1748.1381223369012,64.73108382385676,33.51612,0.69989,93.56784139362078,51.37055,,2220,367.27839,2.15,770.9375938976233,0.29845778994461136,0.82943,63.45592,781.09091,1620.41718,51.23743604743617,1,3.65203,3.99694,0.53522,0.3461224089602457,8.425,,,,5.45387,427.73636,7.98822,129.06733,17.72553,14.22818,6.07162,6.489043021261976,2.5075222822188166,4.915,3.65244,31.24444,7.50951,6.327917360484939,51.80876324802541,1.523565030673,0.3845331681999958,1,2.30657,0.78748,25.772610144430267,31.673529640987006,2.416428838427204,1793,3.640314125395535,0.24836,1.66534,4575.15714,,3.745322749698277,3.3571,4.97,,7.119497531285195,1.416925947305864,1.59963,614.68767,2620,0.42687,1572.55442,8.75293,41.42493,3.62663,24.90768032381793,,,,1.3412,0.04592,5.889556844168771,26.48227,559.47945,,1027.38571,1,6.29147,,,11031.28512,112.56972,2.48406,498.92199,,0.6592801196911201,489.28599,,,3.62513233330656,867.62286
"1996",3.671181595425892,4750.19126,100.08798,,1.79,5635,0.99984,1.276933456588684,1.79,,,2.0113,41.69822,177.63016,0.3760185935463926,299.4769,1,1.40934,5.08728,1.0038596695609214,1,35.78851,3.30815,,2.00003,1.3636554624572406,,1.2346399006923048,411.93920194153446,8.32063552371007,1035.8317547870217,207.05236,1,3.30055,73.91,27.12347,160,5.795695855230048,13.80184,54.72685,11.89244,3.3949,,5.83867,,1.39996,0.64183,0.6401479895468908,,,0.64445,9.86685,993.26503,6.0796,139.15902,7.73391,10.78552,5.38895,16.27706,149.39246,2337.399005731185,3.18566,35.420786362134734,108.75179,1750.7876677361382,66.68036047355145,36.32944,0.70878,108.72763561639232,57.05869,,2300,382.19887,2.15,803.8615317737705,0.29936487944755164,0.82839,67.77276,920,1569.82238,55.29390739519482,1,4.29514,3.99706,0.54712,0.3616589855051383,8.67748,,,,5.87223,466.09683,7.98997,136.19545,19.63302,11.77,15.18203,7.60886183724157,2.5142467380870728,10.24854,4.28161,81.14891,8.41406,6.454463747477097,56.67999762971261,1.4542091754466864,0.3845191001543682,1,2.44778,1.3142,26.20358211388629,36.07165616660812,2.7071668369389896,2038.62978,3.6401803131191524,0.31135,4.92146,5131.61749,,3.7451855607466764,3.50634,4.97025,,6.702211955783669,1.409921432299923,1.55351,683.31967,2620,0.438,1933.05216,8.75511,41.94735,4.28557,25.3459305508325,,,0.97381,1.22845,0.0817,5.98704327876611,27.45216,593.43169,,1038.65301,1,7.92184,,,11029.93033,111.18555,2.4596,510.33187,,0.6888735692307698,507.79699,,,4.268734383984172,1206.01954
"1997",3.671035525858412,4750,144.92863,,1.79,123023.8877,0.99981,1.3449258120632661,1.79,,,2.0113,43.79562,1636.0637,0.37599999751350155,320.37,1,1.4761,5.2631,1.077070333495195,1,36.14151,3.63535,,2,1.384225273248453,,1.45071985293555,419.7091111429182,8.281761207074487,1134.8411793773203,232.1873,1,20.93425,89.12794,31.71378,161.63836,6.601779301861084,14.16085,57.70069,13.86285,3.39129,,6.50032,,1.43756,0.61212,0.6105277539657525,,,0.60916,10.18713,1069.03885,6.05423,141.80249,7.74203,12.88729,6.123,16.14035,186.29260223211358,2519.811431931905,3.44457,36.291016128929684,1084.45159,1753.7033150776683,70.96004956954319,34.31195,0.70832,120.67084010437462,58.55149,,2750.0137,433.64218,2.18151,926.1450087935922,0.30329251325028905,0.82816,75.55436,969.5726,1537.59649,58.98226487778865,1,4.60406,3.99801,0.57828,0.38155869522148467,9.49602,,,,6.22115,514.2037,7.99394,150.8257,20.97559,11.77,16.18935,7.95196843761221,2.769127990307036,11.27955,4.60404,81.46987,9.4283,7.0661168494120385,57.949408515289406,1.5095483107642809,0.384500030625295,1,2.65878,1.42421,29.455862082930345,41.157308746206944,3.279001146328923,2165.20548,3.639999597774348,0.71205,4.9991,5784.854,,3.744999423296716,3.64705,5.03477,,7.628977239852317,1.4816052429807105,1.64043,784.00822,2620,0.4083,2100.86205,8.75501,41.89411,4.60697,30.200028975549696,,,1.09765,1.25962,0.15258,6.248905632629627,28.68653,604.89073,1.86479,1072.85616,1,9.42740803598399,,,11696.83836,115.32786,2.53901,582.16849,,0.7267777403100778,578.06266,,,4.606378203009415,1315.37534
"1998",3.672483088724372,4750,149.15282,,1.79,196916,0.99974,1.5894916699116546,1.79,,,2.0113,46.75433,1751.59567,0.375998281372473,369.24593,1,1.6929318023259448,5.51805,1.1592124173290985,1,41.34559,0.22816285662074853,,2,1.4802486115349396,,1.4477898686088724,473.8229609930949,8.280763400143424,1419.36088648075,256.56919,1,23,99.12713,32.23272,168.74899,6.692588284198991,15.19178,58.70674,14.07334,3.40655,,6.9759,0.8816970032360343,1.95747,0.60244,0.6037065168088517,,,0.6037,10.63033,1224.6094,6.36989,145.45808,7.74574,13.40381,6.34627,16.94825,214.3633,10488.395047878606,3.79504,41.23564909502665,1200,1750.2032454753246,71.1471058840668,35.79781,0.70893,130.59018926818936,60.26749,,3748.27671,444.52892,2.2,1383.3809896170158,0.3048758448479995,0.8284,78.5567,2469.53425,1515.13548,64.60665145511624,18.73699,5.49631,3.99941,0.58821,0.3871136407370821,9.58637,,,,6.2517,819.41082,8.0017,186.61684,23.90637,11.77,31.05334,8.865751536475516,3.9088737677860785,11.77666,5.52465,85.54518,10.56522,7.543162206154866,65.93071871105253,1.8640433291344227,0.384498217414363,1,2.92581,2.0712,40.568227921847104,45.166580359700404,3.471248007390429,2691.5589,3.6399832501511216,0.8864,8.98995,6.767589316680335,,3.7449822961553685,4.39126,5.25554,,7.950682411851474,1.6720491605441619,1.65879,903.04795,2620,0.401,2390,8.75378,41.84863,5.50142,41.06263141319485,,,1.13571,1.45165,0.26188,6.2787244315201916,33.4291,650.9404,2.59064,1229.80027,1,10.40544,,,13261.13699,127.2281,2.92784,589.26658,,0.7373586447876445,588.57092,,,5.487102745693964,1858.7274
"1999",3.6725001644852138,4710.73449,136.2543,,1.77675,193139.6352,0.99981,1.5491600392449907,1.77373,,,1.98459,48.89397,1846.87101,0.37600003289021056,441.36973,0.99802,1.6899192795042663,5.78907,1.7950052465866628,0.9989,42.99353,0.9190192596353205,,1.98584,1.4855569272192484,,1.5022712149552142,486.8890983991165,8.270475181286741,1749.781553819771,284.45707,1,11.96986,103.26356,34.60057,172.03373,6.978713777000769,15.88795,66.49378,14.68626,3.41281,,7.8128,0.9385679724916135,1.96596,0.61699,0.6182791762455025,,,0.61707,11.32304,1335.78501,7.33399,166.93912,7.75862,14.24133,7.09274,16.80795,244.43510463786544,7817.46027,4.13594,43.063966109459294,1206.9863,1752.4416576712204,72.4242159800764,38.29273,0.70904,113.57108900925168,70.23332,,3795.85795,456.2606,2.2,1188.047644528695,0.3043709489059412,0.81539,119.58649,5497.80822,1503.65622,70.41990388508145,35.76327,6.19647,4,0.58685,0.46394821228232785,9.78206,,,,6.11776,990.84033,7.99171,211.59016,25.09914,11.41222,43.78132,9.54309,3.8000003116259986,12.48503,6.0949,95.135,11.78,7.804142252863005,68.23719288480956,1.8904692546388897,0.3845000404150619,1,3.37905,2.56927,39.06668,49.191660589132496,3.96404,3113.61644,3.6399999441260085,1.53334,10.91906,24.8259,,3.7450002856569022,4.85491,5.33231,,8.264340453080713,1.6948773537550674,1.61989,897.17205,2588.70532,0.63628,2355.19641,8.72077,42.12243,6.13534,37.84302021317438,,,1.18353,1.5073,0.42015,6.272693622897938,32.22361,736.90068,4.29909,1454.33836,1,11.21321,,,13940.56301,128.70504,3.02249,615.29749,4.08468,0.7316463307692302,614.39277,123.40372,,6.114754299076798,2469.93093
